class,geo_code,share
A1,FOR,0.006
A1,REC,0.004
A1,SSA,0.004
A1,BH,0.004
A1,RJ,0.001
A1,SP,0.007
A1,CWB,0.006
A1,POA,0.009
A1,BSB,0.008
A1,9_rms,0.005
A2,FOR,0.035
A2,REC,0.028
A2,SSA,0.016
A2,BH,0.036
A2,RJ,0.032
A2,SP,0.040
A2,CWB,0.072
A2,POA,0.063
A2,BSB,0.077
A2,9_rms,0.040
B1,FOR,0.045
B1,REC,0.065
B1,SSA,0.061
B1,BH,0.096
B1,RJ,0.104
B1,SP,0.107
B1,CWB,0.146
B1,POA,0.104
B1,BSB,0.157
B1,9_rms,0.100
B2,FOR,0.095
B2,REC,0.130
B2,SSA,0.125
B2,BH,0.219
B2,RJ,0.200
B2,SP,0.262
B2,CWB,0.268
B2,POA,0.259
B2,BSB,0.249
B2,9_rms,0.218
C1,FOR,0.170
C1,REC,0.206
C1,SSA,0.219
C1,BH,0.267
C1,RJ,0.283
C1,SP,0.284
C1,CWB,0.240
C1,POA,0.284
C1,BSB,0.249
C1,9_rms,0.263
C2,FOR,0.306
C2,REC,0.281
C2,SSA,0.316
C2,BH,0.235
C2,RJ,0.238
C2,SP,0.196
C2,CWB,0.170
C2,POA,0.194
C2,BSB,0.163
C2,9_rms,0.225
DE,FOR,0.343
DE,REC,0.286
DE,SSA,0.259
DE,BH,0.143
DE,RJ,0.142
DE,SP,0.104
DE,CWB,0.098
DE,POA,0.087
DE,BSB,0.097
DE,9_rms,0.149
